location,diabetes-related-lower-extremity-amputation-hospitalizations,female-breast-cancer-incidence,colorectal-cancer-incidence,prostate-cancer-incidence,lung-cancer-incidence,lung-cancer-incidence,late-stage-female-breast-cancer-incidence,child-obesity,asthma,diabetes,hypertension,diabetes-related-hospitalizations,adult-obesity,asthma-ed-visits-(0-4-years),asthma-ed-visits-(0-18-years),asthma-ed-visits-(65+-years),cancer-incidence,cervical-cancer-incidence,schizophrenic-disorder-hospitalizations,serious-psychological-distress,youth-depression,youth-suicide-attempts,drug-related-hospitalizations,alcohol-related-hospitalizations,behavioral-health-hospitalizations,behavioral-health-treatment,mood-and-depressive-disorder-hospitalizations,crude-birth-rate,general-fertility-rate,total-fertility-rate,twin-birth-rate,very-low-birthweight,lead-poisoning,very-low-birthweight,cesarean-delivery,mean-age-at-first-birth,preterm-births,hiv-incidence,linkage-to-hiv-care,tuberculosis,varicella,chlamydia,gonorrhea,hiv-prevalence,pertussis,syphilis,have-a-disability,overall-health-status,non-fatal-shootings,sexual-assault,serious-traffic-crash-injuries
south-lawndale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,1.4,14.77342,,10.2,,81.8181818181818,,,,,,,,11.0,,,,
south-shore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,,2.6,21.97183,,12.5,,80.0,,,,,,,,15.2,,,,
uptown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,1.5,21.1,,9.2,,90.0,,,,,,,,11.9,,,,
washington-heights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8,,2.8,20.82932,,14.0,,,,,,,,,,16.3,,,,
washington-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,2.2,17.63341,,14.3,,62.5,,,,,,,,15.0,,,,
west-elsdon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,0.9,17.62035,,8.9,,,,,,,,,,8.0,,,,
west-englewood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,3.9,17.43041,,15.5,,56.25,,,,,,,,15.7,,,,
west-garfield-park,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.8,,3.8,17.77963,,16.5,,82.3529411764706,,,,,,,,17.5,,,,
west-lawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,1.5,17.63636,,9.3,,100.0,,,,,,,,8.7,,,,
west-pullman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,2.5,17.95775,,11.8,,100.0,,,,,,,,15.4,,,,
west-ridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,1.4,17.86942,,9.7,,88.8888888888889,,,,,,,,11.7,,,,
west-town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,1.3,20.2447,,9.1,,91.6666666666667,,,,,,,,6.7,,,,
woodlawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,3.5,20.87994,,14.8,,81.8181818181818,,,,,,,,15.1,,,,
