location,diabetes-related-lower-extremity-amputation-hospitalizations,female-breast-cancer-incidence,colorectal-cancer-incidence,prostate-cancer-incidence,lung-cancer-incidence,lung-cancer-incidence,late-stage-female-breast-cancer-incidence,child-obesity,asthma,diabetes,hypertension,diabetes-related-hospitalizations,adult-obesity,asthma-ed-visits-(0-4-years),asthma-ed-visits-(0-18-years),asthma-ed-visits-(65+-years),cancer-incidence,cervical-cancer-incidence,schizophrenic-disorder-hospitalizations,serious-psychological-distress,youth-depression,youth-suicide-attempts,drug-related-hospitalizations,alcohol-related-hospitalizations,behavioral-health-hospitalizations,behavioral-health-treatment,mood-and-depressive-disorder-hospitalizations,crude-birth-rate,general-fertility-rate,total-fertility-rate,twin-birth-rate,very-low-birthweight,lead-poisoning,very-low-birthweight,cesarean-delivery,mean-age-at-first-birth,preterm-births,hiv-incidence,linkage-to-hiv-care,tuberculosis,varicella,chlamydia,gonorrhea,hiv-prevalence,pertussis,syphilis,have-a-disability,overall-health-status,non-fatal-shootings,sexual-assault,serious-traffic-crash-injuries
montclare,,90.8,61.1,109.4,,,,,,,,,,,,,466.7,11.7,,,,,,,,,,13.5,66.0,1930.1,17.7,,23.0,,,,,,,,,,,,,,,,,,
morgan-park,,197.4,58.4,209.1,,,84.1,,,,,,,,,,608.9,11.3,,,,,,,,,,11.6,59.8,1952.2,38.9,,9.1,,,,,31.0503903477644,,4.4,,896.0,261.7,350.425833924769,,22.2,,,,,
mount-greenwood,,119.7,46.1,138.4,,,37.1,,,,,,,,,,502.5,2.1,,,,,,,,,,12.5,58.9,1957.2,45.4,,0.0,,,,,,,0.0,,94.3,,31.4251296286597,,,,,,,
near-north-side,,203.0,37.1,129.9,,,46.9,,,,,,,,,,547.7,6.5,,,,,,,,,,12.0,39.4,1207.0,68.8,,6.0,,,,,22.3646936036976,,1.2,,334.2,90.7,316.833159385716,,14.9,,,,,
near-south-side,,115.2,33.1,99.6,,,43.2,,,,,,,,,,437.6,12.6,,,,,,,,,,20.8,69.8,1716.1,56.6,,0.0,,,,,32.7255726975222,,9.4,,336.6,88.8,374.00654511454,,23.4,,,,,
near-west-side,,97.0,34.0,86.3,,,44.6,,,,,,,,,,366.2,8.6,,,,,,,,,,18.7,56.3,1602.3,45.8,,10.3,,,,,34.6203604161732,,5.5,,978.5,253.3,497.439915453436,,32.8,,,,,
new-city,,54.4,35.5,65.0,,,29.0,,,,,,,,,,291.2,16.3,,,,,,,,,,18.6,81.1,2393.0,29.7,,50.4,,,,,27.0410347702639,,11.3,,991.5,383.1,301.95822160128,,13.5,,,,,
north-center,,104.3,27.0,73.3,,,41.7,,,,,,,,,,347.6,6.1,,,,,,,,,,22.5,76.0,1864.1,57.7,,3.6,,,,,15.6902124454765,,0.0,,153.8,62.8,266.733611573101,,,,,,,
north-lawndale,,74.0,49.4,128.0,,,47.3,,,,,,,,,,442.3,11.3,,,,,,,,,,19.1,79.9,2304.0,31.8,,40.1,,,,,72.3991980396525,,8.4,,2344.6,740.7,857.652038315883,,33.4,,,,,
north-park,,165.8,70.2,120.2,,,62.4,,,,,,,,,,528.5,6.5,,,,,,,,,,12.2,61.7,1858.4,28.3,,29.4,,,,,22.3077352071831,,0.0,,133.8,,211.923484468239,,,,,,,
norwood-park,,147.6,62.1,127.8,,,65.6,,,,,,,,,,736.0,7.2,,,,,,,,,,10.4,60.1,1734.6,64.2,,0.0,,,,,,,2.7,,56.7,,67.5255921994436,,0.0,,,,,
oakland,,,,,,,,,,,,,,,,,387.0,17.3,,,,,,,,,,16.6,60.1,1862.0,20.3,,0.0,,,,,0.0,,16.9,,1470.1,506.9,692.801622169652,,,,,,,
ohare,,139.0,54.9,87.4,,,31.6,,,,,,,,,,503.4,3.2,,,,,,,,,,17.2,76.9,1919.5,32.8,,6.4,,,,,0.0,,0.0,,101.9,0.0,117.591721542803,,,,,,,
portage-park,,96.3,40.5,89.3,,,56.7,,,,,,,,,,433.7,9.1,,,,,,,,,,13.8,64.6,1884.9,29.8,,14.0,,,,,7.79739255193063,,1.6,,223.0,35.9,154.388372528227,,,,,,,
pullman,,181.4,,219.7,,,,,,,,,,,,,560.1,9.8,,,,,,,,,,11.8,55.1,1737.3,37.0,,34.8,,,,,,,0.0,,1187.7,477.8,395.904436860068,,,,,,,
riverdale,,,,,,,,,,,,,,,,,289.3,15.6,,,,,,,,,,15.9,58.4,1693.7,38.8,,,,,,,,,15.4,,1033.6,432.0,185.128046899105,,,,,,,
rogers-park,,104.7,39.2,93.4,,,42.5,,,,,,,,,,331.6,8.1,,,,,,,,,,14.6,54.7,1553.0,34.9,,20.5,,,,,85.4685312141987,,10.9,,529.2,189.1,1367.49649942718,,58.2,,,,,
roseland,,120.0,70.1,230.5,,,66.9,,,,,,,,,,628.9,8.9,,,,,,,,,,12.7,61.3,1871.5,28.6,,33.4,,,,,38.1003608328291,,9.0,,1512.8,571.5,452.721934601851,,22.4,,,,,
south-chicago,,102.2,54.2,148.1,,,62.2,,,,,,,,,,449.1,14.1,,,,,,,,,,15.2,69.5,2045.0,33.7,,42.1,,,,,60.9013398294762,,12.8,,1266.1,413.5,653.888069748061,,25.6,,,,,
south-deering,,97.7,39.6,192.7,,,63.5,,,,,,,,,,528.3,7.3,,,,,,,,,,14.6,70.9,2197.4,43.6,,17.4,,,,,46.3300019855715,,6.6,,1151.6,337.5,450.062876431266,,0.0,,,,,
south-lawndale,,31.2,17.4,45.2,,,21.2,,,,,,,,,,167.6,12.4,,,,,,,,,,16.3,79.3,2292.6,19.7,,39.3,,,,,23.9632731308647,,7.6,,537.3,63.1,573.857330239128,,,,,,,
south-shore,,111.7,62.5,171.7,,,57.2,,,,,,,,,,527.3,13.6,,,,,,,,,,14.6,63.3,1864.8,28.0,,22.7,,,,,69.217458181119,,18.1,,1472.9,488.3,917.131320899827,,60.3,,,,,
uptown,,96.6,39.3,97.3,,,49.0,,,,,,,,,,460.5,14.9,,,,,,,,,,13.5,51.7,1427.4,41.5,,9.8,,,,,90.4864979951031,,3.5,,283.9,136.6,1806.18146978461,,99.4,,,,,
washington-heights,,175.2,65.5,271.4,,,79.5,,,,,,,,,,750.2,17.5,,,,,,,,,,11.2,57.2,1834.5,51.9,,12.2,,,,,45.2949835805685,,3.8,,1343.8,437.9,377.458196504737,,34.0,,,,,
washington-park,,83.8,44.2,153.5,,,,,,,,,,,,,390.9,18.0,,,,,,,,,,19.6,72.4,2165.3,36.5,,19.7,,,,,68.2768626781599,,0.0,,2150.7,716.9,793.718528633609,,51.2,,,,,
west-elsdon,,72.6,28.8,84.6,,,,,,,,,,,,,384.1,4.4,,,,,,,,,,15.7,69.3,2023.8,17.5,,11.4,,,,,,,0.0,,259.5,,77.3096250483185,,,,,,,
west-englewood,,88.8,66.1,160.6,,,53.3,,,,,,,,,,483.6,21.9,,,,,,,,,,17.7,81.8,2343.8,35.9,,57.2,,,,,61.9631037881989,,2.8,,2129.3,777.4,568.933952964371,,31.0,,,,,
west-garfield-park,,96.4,37.6,146.1,,,47.2,,,,,,,,,,502.8,16.4,,,,,,,,,,18.6,82.0,2368.0,35.8,,52.3,,,,,61.1077162379868,,0.0,,1888.8,683.3,733.292594855841,,83.3,,,,,
west-lawn,,56.6,34.9,78.0,,,38.6,,,,,,,,,,313.5,4.8,,,,,,,,,,16.8,74.5,2193.2,26.4,,9.3,,,,,,,6.0,,371.8,42.0,110.927896867036,,,,,,,
west-pullman,,128.2,59.1,241.7,,,56.7,,,,,,,,,,589.2,11.1,,,,,,,,,,14.6,67.9,2094.4,31.5,,21.3,,,,,50.5885130349735,,3.4,,1521.0,623.9,462.041752386092,,30.4,,,,,
west-ridge,,112.0,43.9,88.9,,,42.3,,,,,,,,,,456.1,9.3,,,,,,,,,,16.8,80.7,2334.1,35.1,,24.4,,,,,19.4601206527481,,4.2,,191.8,54.2,323.87200800645,,12.5,,,,,
west-town,,73.6,26.0,56.0,,,31.3,,,,,,,,,,261.4,8.5,,,,,,,,,,18.6,58.9,1637.3,48.4,,7.9,,,,,24.3202490393502,,0.0,,357.4,93.3,357.507660878447,,11.1,,,,,
woodlawn,,91.3,55.4,148.1,,,59.4,,,,,,,,,,484.1,16.7,,,,,,,,,,15.4,60.6,1800.2,56.4,,26.7,,,,,71.609098567818,,7.7,,1551.0,496.5,850.884582982308,,42.3,,,,,
